"Protein","Status","logFC","AveExpr","t","P.Value","FDR","B","Protein.panel_3","Protein.panel"
"ENG","M47_status",-0.014896171,0.001717049,-3.12942392,0.001752459,0.00458589,-2.565336565,"Cardiometabolic","Cardiometabolic"
"ENTPD5","M47_status",0.021454338,-0.013452977,3.618872053,0.000296178,0.000877132,-0.908041854,"Cardiometabolic","Cardiometabolic"
"ENTR1","M47_status",0.054592176,0.100141508,3.244428644,0.001177751,0.003184613,-2.103015447,"Cardiometabolic","Cardiometabolic"
"EP300","M47_status",0.022858518,0.004815794,2.693960586,0.00706356,0.016530653,-3.734026347,"Inflammation","Inflammation"
"EPCAM","M47_status",0.085173419,0.063903991,3.155355534,0.001603949,0.004210578,-2.478300083,"Inflammation","Inflammation"
"EPHB6","M47_status",0.050130935,0.006386737,5.725049864,1.04e-08,5.07e-08,8.893596115,"Other","Neurology"
"FCN1","M47_status",0.081196373,-0.034828703,5.076849702,3.85e-07,1.63e-06,5.471919952,"Inflammation","Inflammation"
"FCN2","M47_status",0.029488012,-0.056122814,2.56925171,0.010194638,0.022939898,-4.149657835,"Cardiometabolic","Cardiometabolic"
"FCRL1","M47_status",0.029508204,0.007053042,2.320406424,0.020322786,0.0431398,-4.757359142,"Cardiometabolic","Cardiometabolic"
"FCRL2","M47_status",0.039607214,0.028712995,2.908181389,0.003636916,0.009039716,-3.22675179,"Inflammation","Inflammation"
"FCRL3","M47_status",0.036300823,-0.014640723,2.430113255,0.015097561,0.032908405,-4.488833677,"Inflammation","Inflammation"
"FEN1","M47_status",0.063999714,0.109010217,3.516848742,0.000437087,0.001261209,-1.268190732,"Other","Oncology"
"FES","M47_status",0.050897001,0.027346337,3.890229255,0.000100278,0.000320343,0.109522554,"Other","Oncology"
"FGFBP3","M47_status",0.027959875,0.002719704,2.672276339,0.007536591,0.017581368,-3.797901116,"Other","Neurology"
"FGR","M47_status",0.093904963,0.078306233,5.585662563,2.34e-08,1.11e-07,8.11243937,"Other","Neurology"
"FIS1","M47_status",0.058943005,0.061291349,2.769076088,0.005623561,0.013363959,-3.619309784,"Inflammation","Inflammation"
"FLT1","M47_status",0.028886368,0.013392875,4.689697499,2.74e-06,1.04e-05,3.520995147,"Other","Oncology"
"FMNL1","M47_status",0.09154482,0.055776521,5.06094972,4.19e-07,1.76e-06,5.330406258,"Other","Neurology"
"FN1","M47_status",0.030179758,0.005792702,3.97013117,7.19e-05,0.000236287,0.489222767,"Inflammation","Inflammation"
"FOS","M47_status",0.033111577,-0.013818564,3.332652225,0.000860947,0.002385355,-1.808779823,"Other","Oncology"
"FOSB","M47_status",0.027873818,0.028978343,2.606302366,0.009155259,0.020972432,-4.044429168,"Other","Neurology"
"FOXJ3","M47_status",0.035756974,0.04899709,2.849239936,0.004384439,0.010769508,-3.305469798,"Inflammation","Inflammation"
"FYB1","M47_status",0.057517505,-0.01816776,2.260497239,0.023794568,0.049715169,-4.893258808,"Other","Neurology"
"GALNT2","M47_status",-0.019928461,0.00115091,-2.73421421,0.006255053,0.014768593,-3.71991126,"Other","Oncology"
"GALNT5","M47_status",0.026142566,-0.000465636,3.355790968,0.000792041,0.002209099,-1.750548514,"Cardiometabolic","Cardiometabolic"
"GAMT","M47_status",0.022995165,0.04621339,2.280113587,0.022605788,0.047434831,-4.754289459,"Cardiometabolic","Cardiometabolic"
"GATD3","M47_status",0.050512562,0.06166458,2.348775628,0.018839692,0.040343164,-4.597139854,"Cardiometabolic","Cardiometabolic"
"GBP2","M47_status",0.064205961,-0.000233043,3.91794606,8.94e-05,0.000288788,0.216448088,"Inflammation","Inflammation"
"GFRA2","M47_status",0.018884715,-0.007078841,3.271149299,0.00107182,0.002917067,-2.104792681,"Other","Oncology"
"GIGYF2","M47_status",0.075876639,0.061926157,3.525271614,0.000423472,0.00122313,-1.166748727,"Other","Neurology"
"GIMAP8","M47_status",0.039294787,0.042935628,2.772057146,0.00557271,0.013264684,-3.514504897,"Other","Oncology"
"GNPDA1","M47_status",0.02176516,0.036934525,2.352780736,0.018638036,0.039957335,-4.587764266,"Cardiometabolic","Cardiometabolic"
"GPA33","M47_status",0.104799933,0.018341545,2.792902181,0.005225683,0.012499732,-3.549679053,"Other","Oncology"
"GPI","M47_status",0.035903422,0.041848739,2.718423095,0.006561912,0.015405999,-3.681111327,"Inflammation","Inflammation"
"HBQ1","M47_status",-0.062874309,0.048540508,-3.643479499,0.000269239,0.000802227,-0.830627305,"Other","Oncology"
"HCLS1","M47_status",0.041793895,-0.029522347,2.717351099,0.00658285,0.015442753,-3.765488263,"Inflammation","Inflammation"
"HDGFL2","M47_status",0.066191895,0.051128988,3.677509567,0.000235798,0.000713497,-0.619876072,"Other","Neurology"
"HPSE","M47_status",0.069339201,-0.039414185,2.664328067,0.007717027,0.01793074,-3.818526309,"Cardiometabolic","Cardiometabolic"
"HRG","M47_status",0.041795295,-0.00498674,4.727028553,2.29e-06,8.8e-06,3.766918527,"Inflammation","Inflammation"
"HS1BP3","M47_status",0.068266603,0.017816874,2.732985701,0.006278835,0.014800834,-3.625028687,"Cardiometabolic","Cardiometabolic"
"HS6ST1","M47_status",0.022155377,0.004653495,2.330501979,0.019783442,0.04214796,-4.738727487,"Other","Oncology"
"HSPA1A","M47_status",0.085164357,0.053942224,4.277083068,1.9e-05,6.63e-05,1.673493488,"Inflammation","Inflammation"
"ICAM3","M47_status",0.023955285,0.008538799,3.339592614,0.000839601,0.002330631,-1.887941681,"Cardiometabolic","Cardiometabolic"
"IDO1","M47_status",0.046720832,0.047659696,2.572302297,0.010105742,0.02279131,-4.049459993,"Inflammation","Inflammation"
"IDUA","M47_status",0.067830232,-0.028358959,5.265451559,1.4e-07,6.28e-07,6.36750884,"Other","Oncology"
"IFNG","M47_status",0.123558265,-0.017676617,3.90179337,9.56e-05,0.000306422,0.153528264,"Inflammation","Inflammation"
"IL1B","M47_status",0.051614776,0.070671068,3.278384792,0.001044738,0.002851324,-2.074891217,"Inflammation","Inflammation"
"IL1RL2","M47_status",0.040366396,-0.016725289,3.590387229,0.0003305,0.000975808,-1.008713253,"Inflammation","Inflammation"
"IL20RB","M47_status",0.033784961,0.003251262,2.91595688,0.003547805,0.008825731,-3.11396578,"Inflammation","Inflammation"
"IL2RG","M47_status",0.025582411,0.031088828,2.482975752,0.013032644,0.028743668,-4.286046086,"Other","Oncology"
"ILKAP","M47_status",0.062814346,0.029766135,3.931452549,8.45e-05,0.000274286,0.272045253,"Other","Neurology"
"ING1","M47_status",0.046876318,0.027085989,3.65028859,0.000262211,0.000782085,-0.790108645,"Other","Neurology"
"INPP1","M47_status",0.040792962,0.030162855,2.729094303,0.006353018,0.014963636,-3.725229804,"Other","Oncology"
"INSL3","M47_status",-0.1796355,0.696509503,-4.473807177,7.7e-06,2.79e-05,2.611383092,"Other","Neurology"
"IQGAP2","M47_status",0.052637217,0.019890435,3.450712251,0.000559559,0.001587953,-1.503470379,"Other","Oncology"
"ITGB5","M47_status",0.030147319,0.024843055,2.854276644,0.00431521,0.010608376,-3.382816749,"Other","Oncology"
"ITGB6","M47_status",-0.025353473,-0.005613045,-2.864275782,0.00418136,0.010322732,-3.34361214,"Inflammation","Inflammation"
"ITIH3","M47_status",0.039884133,-0.024030995,3.559696186,0.000371617,0.001086235,-1.12911449,"Cardiometabolic","Cardiometabolic"
"ITIH4","M47_status",0.043691077,0.018694606,5.811170128,6.25e-09,3.12e-08,9.452560604,"Inflammation","Inflammation"
"ITM2A","M47_status",0.038623491,0.016342471,2.333081861,0.019647682,0.041889259,-4.724656061,"Inflammation","Inflammation"
"JAM3","M47_status",0.052425554,0.070929088,3.74690791,0.000179257,0.000553293,-0.355823931,"Inflammation","Inflammation"
"KIF22","M47_status",0.091171767,-0.108893386,2.670414179,0.007578601,0.017665271,-3.792272864,"Cardiometabolic","Cardiometabolic"
"KIR2DL2","M47_status",0.126699238,0.013105515,5.211979219,1.88e-07,8.25e-07,6.168072286,"Other","Oncology"
"KLK12","M47_status",0.107948264,-0.51360804,2.842563218,0.004477036,0.010950943,-3.404438462,"Other","Oncology"
"KLK13","M47_status",0.045372687,0.012942655,3.577446369,0.000347293,0.001020237,-1.052695027,"Other","Oncology"
"LAIR2","M47_status",0.08106121,-0.091428403,2.796666867,0.005165202,0.012375315,-3.536678516,"Other","Neurology"
"LAP3","M47_status",0.043280234,-0.002895976,3.236460217,0.001211,0.003265454,-2.212405173,"Inflammation","Inflammation"
"LATS1","M47_status",0.062791859,0.024453175,2.659582839,0.007826615,0.018156505,-3.825660593,"Inflammation","Inflammation"
"LBR","M47_status",0.12206463,0.083345665,6.340207598,2.31e-10,1.31e-09,12.58074712,"Other","Neurology"
"LEO1","M47_status",0.030085719,0.021416929,3.565375622,0.000363714,0.001064413,-1.025173647,"Other","Neurology"
"LETM1","M47_status",0.058853613,0.05866035,3.988002616,6.67e-05,0.000220423,0.56408533,"Other","Neurology"
"LGALS8","M47_status",0.062372947,0.064417853,3.724726548,0.000195734,0.000600346,-0.530803684,"Other","Neurology"
"LIF","M47_status",0.052491354,0.030689376,3.731693886,0.000190406,0.000585232,-0.491054443,"Other","Neurology"
"LILRA3","M47_status",0.094637505,-0.367240964,2.458895016,0.01394029,0.030568242,-4.347308081,"Cardiometabolic","Cardiometabolic"
"LPCAT2","M47_status",0.0841346,0.062971729,7.204116701,5.92e-13,4.1e-12,18.41233817,"Other","Oncology"
"LRRC59","M47_status",0.033969294,0.08367744,2.5682527,0.010224472,0.022989333,-4.073554278,"Cardiometabolic","Cardiometabolic"
"LSM8","M47_status",-0.058610893,0.266563039,-2.428963474,0.015146037,0.032989467,-4.410139398,"Other","Oncology"
"LYAR","M47_status",0.056637713,0.056234474,3.825076846,0.000130889,0.000412272,-0.140877329,"Other","Oncology"
"LYVE1","M47_status",0.013931555,0.005180465,2.536223473,0.011208882,0.02512543,-4.155949861,"Inflammation","Inflammation"
"MAEA","M47_status",0.027606926,0.027634034,2.558065874,0.010528517,0.023636603,-4.169926849,"Other","Oncology"
"MANSC1","M47_status",0.029379944,0.004767375,3.863549885,0.000111887,0.000355372,-0.00485343,"Other","Oncology"
"MAPK13","M47_status",0.064183574,0.001564217,5.273479963,1.35e-07,6.04e-07,6.502738938,"Other","Oncology"
"MCFD2","M47_status",0.039078507,0.019779833,3.210719312,0.001324847,0.003549523,-2.30236764,"Cardiometabolic","Cardiometabolic"
"MDH1","M47_status",0.030259664,0.031422935,2.661423483,0.007783891,0.018071733,-3.831172326,"Inflammation","Inflammation"
"MIA","M47_status",0.04051028,0.03593973,3.957575789,7.58e-05,0.000248162,0.361501881,"Other","Oncology"
"MKI67","M47_status",0.031979959,0.052002051,2.890353701,0.003849988,0.009536878,-3.187980922,"Inflammation","Inflammation"
"MMP13","M47_status",0.035734454,-0.00174892,3.979428138,6.92e-05,0.000227968,0.460535572,"Other","Neurology"
"MNDA","M47_status",0.070287557,0.135001778,2.4827784,0.013039378,0.028743668,-4.36819074,"Cardiometabolic","Cardiometabolic"
"MOG","M47_status",0.035643849,-0.00304519,3.702115756,0.00021403,0.000650322,-0.616040471,"Other","Oncology"
"MPRIP","M47_status",0.037129119,-0.015806173,3.045973027,0.002320643,0.00589847,-2.734809166,"Other","Oncology"
"MSRA","M47_status",0.045159873,-0.007960581,2.258790226,0.023900586,0.049885448,-4.899909469,"Other","Oncology"
"MSTN","M47_status",-0.056303524,0.013809376,-3.527190259,0.000420367,0.001216566,-1.23442456,"Cardiometabolic","Cardiometabolic"
"MTDH","M47_status",0.072821521,0.044526292,2.833860154,0.004601062,0.011205145,-3.348987447,"Inflammation","Inflammation"
"MYDGF","M47_status",0.073571803,0.0101843,2.645140761,0.008168543,0.018889756,-3.873954279,"Cardiometabolic","Cardiometabolic"
"MYH9","M47_status",0.081359366,0.013963777,2.584704636,0.009749376,0.022159741,-4.031342477,"Cardiometabolic","Cardiometabolic"
"MZT1","M47_status",0.042862087,0.071732696,2.96013808,0.003076445,0.007725472,-3.064538495,"Other","Oncology"
"NAMPT","M47_status",0.070626627,0.05673298,4.726596914,2.29e-06,8.8e-06,3.699251623,"Other","Oncology"
"NBN","M47_status",0.057198713,0.067315515,3.805417276,0.000141732,0.000443083,-0.216487883,"Inflammation","Inflammation"
"NCAM1","M47_status",-0.043343591,0.010504612,-4.899529762,9.64e-07,3.85e-06,4.516917678,"Cardiometabolic","Cardiometabolic"
"NCF2","M47_status",0.072719775,0.113659693,3.004509058,0.002661381,0.006717803,-2.937678965,"Inflammation","Inflammation"
"NDRG1","M47_status",0.054908504,0.132601215,2.936947933,0.003316099,0.008270441,-3.131293032,"Other","Neurology"
"NEDD9","M47_status",0.02915533,0.030070991,3.071022888,0.002134584,0.00546835,-2.651749306,"Inflammation","Inflammation"
"NEXN","M47_status",0.065513027,0.068283013,3.425923692,0.000613262,0.001731945,-1.516564172,"Inflammation","Inflammation"
"NFYA","M47_status",0.043907034,0.050869793,4.013481663,5.99e-05,0.000199064,0.676666637,"Cardiometabolic","Cardiometabolic"
"NID2","M47_status",0.058731359,0.051085586,2.879069614,0.003990144,0.009867335,-3.309515316,"Other","Neurology"
"NINJ1","M47_status",0.039331252,0.097989659,2.579212474,0.009905397,0.022444555,-4.115802102,"Other","Oncology"
"NIT1","M47_status",-0.030976372,-0.067133145,-2.345120268,0.019025401,0.040711016,-4.605682776,"Cardiometabolic","Cardiometabolic"
"NIT2","M47_status",0.054037333,-0.008898828,2.612306456,0.008996372,0.020657028,-3.959210478,"Cardiometabolic","Cardiometabolic"
"NPM1","M47_status",0.09488836,0.063750413,2.667729748,0.007645486,0.0177928,-3.268164681,"Other","Neurology"
"OTUD7B","M47_status",0.048186677,0.042009537,2.72153681,0.00650043,0.01527392,-3.666575845,"Other","Neurology"
"PADI2","M47_status",0.048138121,0.07866353,3.054211754,0.002257701,0.005758516,-2.783565065,"Inflammation","Inflammation"
"PADI4","M47_status",0.076988832,0.098688299,3.710394758,0.000207159,0.000630757,-0.569174954,"Other","Neurology"
"PBLD","M47_status",0.04017751,0.042328809,2.782133902,0.005402286,0.012876991,-3.572396899,"Other","Neurology"
"PCDH7","M47_status",0.027292537,0.046988278,2.799971614,0.005112907,0.012270136,-3.452176368,"Other","Oncology"
"PDIA4","M47_status",0.038606053,0.054050285,2.284702765,0.022334915,0.04693383,-4.758769524,"Cardiometabolic","Cardiometabolic"
"PDIA5","M47_status",0.043797607,0.035487143,2.61686778,0.008877161,0.020399325,-3.930871571,"Other","Oncology"
"PDLIM7","M47_status",0.085324396,0.028086636,2.431643602,0.015033858,0.032794006,-4.495135611,"Inflammation","Inflammation"
"PEBP1","M47_status",0.042752698,0.024174329,2.609751575,0.009063418,0.020778331,-4.046040947,"Other","Neurology"
"PI16","M47_status",0.019987997,0.000870551,2.856977583,0.004278927,0.010536904,-3.296449951,"Inflammation","Inflammation"
"PIKFYVE","M47_status",0.04790352,0.07368469,3.078928096,0.002078761,0.005353498,-2.62754453,"Inflammation","Inflammation"
"PLSCR3","M47_status",0.050653479,0.032211007,3.076109238,0.002098479,0.00539003,-2.640751261,"Other","Neurology"
"PNLIP","M47_status",-0.042584804,0.015511144,-2.468461933,0.01357321,0.029875372,-4.326722614,"Inflammation","Inflammation"
"PNLIPRP1","M47_status",0.087006293,0.004573844,3.97215509,7.13e-05,0.000234553,0.502223808,"Other","Neurology"
"POMC","M47_status",-0.079667051,0.026883708,-3.906021708,9.4e-05,0.000302001,0.251997434,"Cardiometabolic","Cardiometabolic"
"PON2","M47_status",0.02209543,-0.006733006,2.275250254,0.022895086,0.047943229,-4.853566011,"Cardiometabolic","Cardiometabolic"
"POSTN","M47_status",0.032095824,0.008139256,3.06046351,0.002211254,0.005649908,-2.694029758,"Cardiometabolic","Cardiometabolic"
"PPP1R12A","M47_status",0.084198589,0.049678593,3.187931939,0.001433796,0.003809986,-2.378360102,"Other","Oncology"
"PPP1R9B","M47_status",0.094672193,0.020730237,3.57869871,0.000345623,0.001017377,-1.063494077,"Inflammation","Inflammation"
"PQBP1","M47_status",0.083916658,0.061486885,5.362097601,8.26e-08,3.79e-07,6.8923269,"Other","Oncology"
