"Protein","Status","logFC","AveExpr","t","P.Value","FDR","B","Protein.panel_3","Protein.panel"
"SEZ6L","M48_status",-0.023785698,0.004286294,-2.416829062,0.015659807,0.043346228,-4.283340532,"Other","Oncology"
"SLC9A3R2","M48_status",0.046590364,0.081026429,2.720708426,0.006516744,0.019925149,-3.422550416,"Other","Oncology"
"SPESP1","M48_status",0.031409406,0.03431416,2.84577785,0.00443232,0.01411293,-3.080169399,"Cardiometabolic","Cardiometabolic"
"SPINK5","M48_status",-0.033124645,0.01771427,-2.892806408,0.003819764,0.012337203,-3.023713588,"Other","Neurology"
"SPRR1B","M48_status",-0.087562542,0.15194459,-3.068983647,0.00214919,0.007220786,-2.41310473,"Other","Oncology"
"TK1","M48_status",0.040247414,0.045749574,2.643839223,0.008200066,0.024284492,-3.619026005,"Other","Oncology"
"TMED10","M48_status",-0.040713902,0.069871177,-2.470132907,0.013510108,0.037971198,-4.057024593,"Cardiometabolic","Cardiometabolic"
"TNFRSF17","M48_status",0.040636019,0.009715093,2.894016442,0.003805358,0.012304271,-2.9291674,"Inflammation","Inflammation"
"TOP1","M48_status",-0.096110474,-0.068899767,-2.479173203,0.013172401,0.037093379,-4.04624518,"Other","Oncology"
"TPPP3","M48_status",0.032967319,0.030165225,2.510620476,0.012055029,0.034377413,-4.042708834,"Other","Neurology"
"UROS","M48_status",0.055157912,0.064125736,2.400713477,0.016367309,0.045091088,-4.223003767,"Other","Neurology"
"VAMP5","M48_status",0.067725365,0.095585935,3.761446669,0.000169124,0.00069922,-0.144889539,"Cardiometabolic","Cardiometabolic"
"VSIG10","M48_status",0.040543837,0.035568325,3.371190044,0.000749077,0.002747243,-1.452992224,"Other","Oncology"
"VSIG10L","M48_status",0.026828374,0.018424096,2.387968433,0.016946054,0.046466526,-4.255216199,"Cardiometabolic","Cardiometabolic"
"VTCN1","M48_status",-0.026286861,0.001085215,-2.454852333,0.014097607,0.03939513,-4.183642193,"Other","Oncology"
"WFDC1","M48_status",0.055542529,0.071265799,3.019885657,0.002530162,0.008366134,-2.558121511,"Other","Oncology"
"WIF1","M48_status",-0.02936413,0.002785377,-2.493832925,0.012640285,0.035767233,-4.098618817,"Other","Oncology"
